Variable,Index,Value
reaction,TPI,490.76314868396304
reaction,ALCD2x_reverse,490.70426606759355
reaction,PPC,0.05299600362446162
reaction,ME1,4.846830329817633e-07
reaction,PPS,2.9980343187884727e-07
reaction,G6PDH2r_reverse,489.5169583157035
reaction,EX_akg_e,1.5264741496359932e-07
reaction,EX_etoh_e_reverse,0.0
reaction,PPCK,3.492924148221891e-07
reaction,EX_mal__L_e,0.0
reaction,FRD7,2.3742196070725918e-07
reaction,EX_etoh_e,5.55028178537001e-07
reaction,EX_co2_e_reverse,442.2502183707653
reaction,ETOHt2r_reverse,490.7042664294864
reaction,ICDHyr_reverse,490.6952166051041
reaction,ME2,4.5051899407823804e-07
reaction,SUCOAS_reverse,490.70585698806275
reaction,ACONTb,490.71398650906764
reaction,PYK,2.7778966532486513e-06
reaction,CYTBD,6.3469632968327705
reaction,ADK1,490.703777112474
reaction,SUCCt3,1.2235365607046673e-06
reaction,PDH,0.8722544739324142
reaction,GAPD_reverse,490.19569162529797
reaction,EX_h2o_e_reverse,442.18389779298997
reaction,ACALDt_reverse,490.7051451877187
reaction,EX_glu__L_e_reverse,0.0
reaction,LDH_D_reverse,490.70276146371964
reaction,H2Ot_reverse,492.3832537328668
reaction,MDH_reverse,490.7082400761489
reaction,EX_gln__L_e_reverse,0.0
reaction,GLUt2r_reverse,490.70567872136616
reaction,PFK,0.12102983778729969
reaction,TPI_reverse,490.6421189808785
reaction,EX_o2_e_reverse,444.95196553762867
reaction,RPE,491.4786302603579
reaction,ACONTb_reverse,490.6940329907924
reaction,GLUt2r,490.7056785571581
reaction,ACKr,490.3233804145713
reaction,PGK_reverse,491.21060403382864
reaction,ACt2r,490.3233866858361
reaction,MALt2_2,0.0
reaction,ACALD,490.7022328444252
reaction,EX_h2o_e,445.5134740947759
reaction,CO2t_reverse,492.3111076755798
reaction,GLUDy_reverse,490.75162707465427
reaction,TKT2,491.0918086340346
reaction,H2Ot,489.05367743108087
reaction,LDH_D,490.7027603167966
reaction,PFL,0.0
reaction,EX_ac_e_reverse,0.0
reaction,EX_co2_e,445.44508002736575
reaction,FORt,0.0
reaction,EX_fum_e,0.0
reaction,EX_pyr_e,1.0798908756103104e-06
reaction,PGM_reverse,491.19660207204976
reaction,EX_lac__D_e_reverse,0.0
reaction,EX_pyr_e_reverse,0.0
reaction,NADH16,6.346962896881058
