Variable,Index,Value
flux,PFK,7.477381962160285
flux,PFL,0.0
flux,PGI,4.860861146496817
flux,PGK,-16.0235261431676
flux,PGL,4.959984944574654
flux,ACALD,0.0
flux,AKGt2r,0.0
flux,PGM,-14.716139568742829
flux,PIt2r,3.2148950476847684
flux,ALCD2x,0.0
flux,ACALDt,0.0
flux,ACKr,0.0
flux,PPC,2.5043094703687334
flux,ACONTa,6.007249575350331
flux,ACONTb,6.007249575350331
flux,ATPM,8.39
flux,PPCK,0.0
flux,ACt2r,0.0
flux,PPS,0.0
flux,ADK1,0.0
flux,AKGDH,5.064375661482091
flux,ATPS4r,45.51400977451744
flux,PTAr,0.0
flux,PYK,1.7581774441067823
flux,BIOMASS_Ecoli_core_w_GAM,0.8739215069684301
flux,PYRt2,0.0
flux,CO2t,-22.809833310204954
flux,RPE,2.6784818505075285
flux,CS,6.007249575350331
flux,RPI,-2.2815030940671255
flux,SUCCt2_2,0.0
flux,CYTBD,43.59898531199751
flux,D_LACt2,0.0
flux,ENO,14.716139568742829
flux,SUCCt3,0.0
flux,ETOHt2r,0.0
flux,SUCDi,5.064375661482091
flux,SUCOAS,-5.064375661482091
flux,TALA,1.4969837572615659
flux,THD2,0.0
flux,TKT1,1.4969837572615659
flux,TKT2,1.1814980932459627
flux,TPI,7.477381962160285
flux,EX_ac_e,0.0
flux,EX_acald_e,0.0
flux,EX_akg_e,0.0
flux,EX_co2_e,22.809833310204954
flux,EX_etoh_e,0.0
flux,EX_for_e,0.0
flux,EX_fru_e,0.0
flux,EX_fum_e,0.0
flux,EX_glc__D_e,-10.0
flux,EX_gln__L_e,0.0
flux,EX_glu__L_e,0.0
flux,EX_h_e,17.530865429786758
flux,EX_h2o_e,29.175827135565793
flux,EX_lac__D_e,0.0
flux,EX_mal__L_e,0.0
flux,EX_nh4_e,-4.765319193197455
flux,EX_o2_e,-21.799492655998755
flux,EX_pi_e,-3.2148950476847684
flux,EX_pyr_e,0.0
flux,EX_succ_e,0.0
flux,FBA,7.477381962160285
flux,FBP,0.0
flux,FORt2,0.0
flux,FORt,0.0
flux,FRD7,0.0
flux,FRUpts2,0.0
flux,FUM,5.064375661482091
flux,FUMt2_2,0.0
flux,G6PDH2r,4.959984944574654
flux,GAPD,16.0235261431676
flux,GLCpts,10.0
flux,GLNS,0.22346172933182756
flux,GLNabc,0.0
flux,GLUDy,-4.541857463865628
flux,GLUN,0.0
flux,GLUSy,0.0
flux,GLUt2r,0.0
flux,GND,4.959984944574654
flux,H2Ot,-29.175827135565793
flux,ICDHyr,6.007249575350331
flux,ICL,0.0
flux,LDH_D,0.0
flux,MALS,0.0
flux,MALt2_2,0.0
flux,MDH,5.064375661482091
flux,ME1,0.0
flux,ME2,0.0
flux,NADH16,38.53460965051542
flux,NADTRHD,0.0
flux,NH4t,4.765319193197455
flux,O2t,21.799492655998755
flux,PDH,9.282532599166615
enzyme,b1241,0.01
enzyme,b0351,0.01
enzyme,s0001,0.01
enzyme,b1849,0.01
enzyme,b3115,0.01
enzyme,b2296,0.01
enzyme,b1276,0.01
enzyme,b0118,0.01
enzyme,b0474,0.01
enzyme,b0116,0.01
enzyme,b0727,0.01
enzyme,b0726,0.01
enzyme,b2587,0.01
enzyme,b0356,0.01
enzyme,b1478,0.01
enzyme,b3734,0.01
enzyme,b3733,0.01
enzyme,b3736,0.01
enzyme,b3737,0.01
enzyme,b3739,0.01
enzyme,b3738,0.01
enzyme,b3735,0.01
enzyme,b3731,0.01
enzyme,b3732,0.01
enzyme,b0720,0.01
enzyme,b0733,0.01
enzyme,b0734,0.01
enzyme,b0979,0.01
enzyme,b0978,0.01
enzyme,b3603,0.01
enzyme,b2975,0.01
enzyme,b2779,0.01
enzyme,b2925,0.01
enzyme,b1773,0.01
enzyme,b2097,0.01
enzyme,b3925,0.01
enzyme,b4232,0.01
enzyme,b2492,0.01
enzyme,b0904,0.01
enzyme,b4152,0.01
enzyme,b4154,0.01
enzyme,b4153,0.01
enzyme,b4151,0.01
enzyme,b1819,0.01
enzyme,b1817,0.01
enzyme,b2416,0.01
enzyme,b2415,0.01
enzyme,b1818,0.01
enzyme,b1611,0.01
enzyme,b4122,0.01
enzyme,b1612,0.01
enzyme,b3528,0.01
enzyme,b1852,0.01
enzyme,b1779,0.01
enzyme,b1101,0.01
enzyme,b2417,0.01
enzyme,b1621,0.01
enzyme,b1297,0.01
enzyme,b3870,0.01
enzyme,b0809,0.01
enzyme,b0811,0.01
enzyme,b0810,0.01
enzyme,b1761,0.01
enzyme,b1524,0.01
enzyme,b0485,0.01
enzyme,b1812,0.01
enzyme,b3213,0.01
enzyme,b3212,0.01
enzyme,b4077,0.01
enzyme,b2029,0.01
enzyme,b0875,0.01
enzyme,b1136,0.01
enzyme,b4015,0.01
enzyme,b1380,0.01
enzyme,b2133,0.01
enzyme,b4014,0.01
enzyme,b2976,0.01
enzyme,b3236,0.01
enzyme,b1479,0.01
enzyme,b2463,0.01
enzyme,b2281,0.01
enzyme,b2277,0.01
enzyme,b2280,0.01
enzyme,b2286,0.01
enzyme,b2287,0.01
enzyme,b2284,0.01
enzyme,b2276,0.01
enzyme,b2282,0.01
enzyme,b2279,0.01
enzyme,b2283,0.01
enzyme,b2285,0.01
enzyme,b2288,0.01
enzyme,b2278,0.01
enzyme,b1603,0.01
enzyme,b3962,0.01
enzyme,b1602,0.01
enzyme,b0451,0.01
enzyme,b0114,0.01
enzyme,b0115,0.01
enzyme,b3916,0.01
enzyme,b1723,0.01
enzyme,b3114,0.01
enzyme,b2579,0.01
enzyme,b3951,0.01
enzyme,b0902,0.01
enzyme,b3952,0.01
enzyme,b0903,0.01
enzyme,b4025,0.01
enzyme,b2926,0.01
enzyme,b0767,0.01
enzyme,b3612,0.01
enzyme,b4395,0.01
enzyme,b0755,0.01
enzyme,b3493,0.01
enzyme,b2987,0.01
enzyme,b3956,0.01
enzyme,b3403,0.01
enzyme,b1702,0.01
enzyme,b2297,0.01
enzyme,b2458,0.01
enzyme,b1676,0.01
enzyme,b1854,0.01
enzyme,b3386,0.01
enzyme,b4301,0.01
enzyme,b2914,0.01
enzyme,b4090,0.01
enzyme,b0721,0.01
enzyme,b0722,0.01
enzyme,b0724,0.01
enzyme,b0723,0.01
enzyme,b0729,0.01
enzyme,b0728,0.01
enzyme,b0008,0.01
enzyme,b2464,0.01
enzyme,b2465,0.01
enzyme,b2935,0.01
enzyme,b3919,0.01
