Variable,Index,Value
flux,ALATA_D2,0.0
flux,SHCHD2,4.60899582969338e-05
flux,CPPPGO,4.60899582969338e-05
flux,GTHOr,0.0
flux,DHORD5,0.0
flux,GLYCTO2,1.90939630078666e-13
flux,GLYCTO3,0.0
flux,GLYCTO4,0.0
flux,PFK_3,0.0291127324927186
flux,TRPS2,0.0
flux,G3PD5,0.0
flux,EX_acgam_e,0.0
flux,EX_cellb_e,0.0
flux,EX_chol_e,-0.0
flux,LEUTAi,0.0931163901411474
flux,SHK3Dr,0.0787702189063566
flux,G5SD,0.0456879629207565
flux,ALATA_L2,0.0
flux,MAN6PI,0.0
flux,APRAUR,9.21799176483792e-05
flux,DB4PS,0.000184359835296758
flux,RBFK,4.60899593514454e-05
flux,ACP1_FMN,0.0
flux,RBFSb,9.21799176483791e-05
flux,EX_pi_e,-0.199366144921214
flux,EX_h_e,18.7888773557501
flux,DMATT,5.74574368006618e-05
flux,GRTT,5.74574368006619e-05
flux,UPP3S,9.21799165938675e-05
flux,UPPDC1,4.60899582969338e-05
flux,TMDPP,-1.13686837721616e-13
flux,EX_ade_e,0.0
flux,EX_4abut_e,0.0
flux,EX_ac_e,16.8898059353953
flux,EX_akg_e,0.0
flux,EX_ala__L_e,0.0
flux,EX_arg__L_e,0.0
flux,EX_asp__L_e,0.0
flux,EX_cytd_e,0.0
flux,EX_dcyt_e,0.0
flux,EX_fum_e,0.0
flux,EX_glu__L_e,0.0
flux,EX_gua_e,0.0
flux,HCO3E,0.108636632734374
flux,IMPC,-0.112131288152455
flux,IMPD,0.0502707102101158
flux,ECOAH4,0.0735537863621403
flux,GLUTRS,0.000737439332910926
flux,TMPPP,4.60899582969338e-05
flux,URIK1,0.0
flux,URIK2,0.0
flux,CYTDK1,0.0
flux,CYTDK2,0.0
flux,XPPT,0.0
flux,HXPRT,0.0
flux,NDPK5,-2.27373675443232e-13
flux,DHORTS,-0.0683691827575785
flux,OMPDC,0.0683691827577905
flux,CS,0.222222217223923
flux,ICDHyr,0.222222217224157
flux,ACALD,0.0
flux,ACS,0.0
flux,PPA,0.718300098416203
flux,PPCK,0.0
flux,ME1,0.0
flux,ALAR,0.00861489525425441
flux,ALATA_L,-0.120256348409612
flux,XYLK,0.0
flux,RBK,0.0
flux,GLYK,5.91175889600247e-13
flux,PPM,-0.538447793843261
flux,ASPTA,-0.605126636673162
flux,FBP,0.0
flux,GLGC,0.0
flux,PYK,0.0
flux,A5PISO,0.00804238770069787
flux,EX_met__L_e,0.0
flux,EX_metsox_S__L_e,0.0
flux,IPPMIb,-0.0931163901411765
flux,ACHBS,0.0600469484038111
flux,ACLS,0.180715419582396
flux,PSCVT,0.0787702189063566
flux,ANS,0.0117483923741339
flux,ANPRT,0.0117483923741339
flux,CHORM,0.0668374666990836
flux,CHORS,0.0787702189063274
flux,IGPS,0.0117483923741339
flux,EX_crn_e,-0.0
flux,EX_fe3_e,-0.0
flux,EX_glcn_e,0.0
flux,EX_gln__L_e,0.0
flux,EX_glyc_e,0.0
flux,EX_man_e,0.0
flux,EX_mn2_e,-0.000142816866286921
flux,EX_rib__D_e,0.0
flux,EX_sbt__D_e,0.0
flux,ECOAH6,0.0574690109606308
flux,ENO,9.36798328290365
flux,FBA,0.0
flux,MGSA,0.0
flux,PPS,0.0
flux,PGI,0.208955405309666
flux,PGK,-9.71182387916144
flux,EDA,9.79104459469066
flux,PGL,9.79104459469107
flux,RPE,-0.160313758109737
flux,TALA,-0.0699305920533106
flux,TKT1,-0.0408178595597519
flux,G6PDA,0.0
flux,ALCD2x,-2.27373675443232e-13
flux,ALDD2y,0.0
flux,RMI,-0.0
flux,EX_ura_e,0.0
flux,EX_val__L_e,0.0
flux,EX_xan_e,0.0
flux,FMNAT,4.60899593514454e-05
flux,NADDP,0.0
flux,NMNAT,0.0
flux,HMPK1,0.0
flux,NDPK6,0.0
flux,NDPK8,-0.00540802622731462
flux,PYNP2r,0.00540802622788306
flux,DURIPP,-0.00540802622765568
flux,PTRCTA,1.10618275243119e-13
flux,CYSDS,0.0
flux,TRPAS2,-0.011748392374102
flux,NDP3,0.0
flux,CDPPH,0.0
flux,NDP7,0.0
flux,EX_co2_e,17.7370650311775
flux,PMDPHT,9.21799176483792e-05
flux,ILETA,-0.0600469484037376
flux,VALTA,-0.0874597261562258
flux,ORPT,-0.0683691827579196
flux,RBFSa,0.000184359835296758
flux,DHAD2,0.06004694840398
flux,G1PP,0.0
flux,PFL,0.0224077803227944
flux,FRD2,0.0
flux,FRD3,0.0
flux,POX,0.0
flux,PTAr,16.7694789019349
flux,ACKr,-16.7694789019349
flux,EX_hxan_e,0.0
flux,EX_ile__L_e,0.0
flux,EX_lac__L_e,0.0
flux,EX_leu__L_e,0.0
flux,EX_no3_e,0.0
flux,EX_orn_e,0.0
flux,EX_pro__L_e,0.0
flux,EX_pyr_e,0.0
flux,EX_succ_e,0.0
flux,EX_thymd_e,0.0
flux,EX_tyr__L_e,0.0
flux,MOAT,0.00402119385033697
flux,UDCPDPS,1.13674785037281e-05
flux,USHD,0.00402119385033697
flux,LPADSS,0.00402119385033697
flux,TDSK,0.00402119385033697
flux,EX_btn_e,0.0
flux,EX_ptrc_e,0.0
flux,EX_spmd_e,-0.0
flux,EX_thym_e,-0.0
flux,EX_xtsn_e,0.0
flux,NTPP1,0.0
flux,NTPP2,0.0
flux,NTPTP1,0.0
flux,NTPTP2,0.0
flux,IPMD,0.0931163901411474
flux,AIRC3,-0.0925507030893868
flux,ADSL2r,0.0925507030892732
flux,EX_fe2_e,-0.00331951040436707
flux,PUNP5,3.41060513164848e-13
flux,PUNP6,0.0
flux,PUNP7,0.0
flux,RNDR1,0.0
flux,RNDR3,0.0
flux,RNDR4,0.0
flux,TMDS,0.00540802622779557
flux,TMDK1,0.0
flux,PPCDC,0.000139303285036706
flux,FTHFD,0.0
flux,EX_glc__D_e,-10.0
flux,EDD,9.79104459469119
flux,DHQTi,0.0787702189063474
flux,PUNP1,-0.00554712282723813
flux,PUNP2,0.00540802622708725
flux,PUNP3,0.0
flux,LYSAM,0.0
flux,DHAD1,0.180715419582332
flux,IPPMIa,-0.0931163901410628
flux,EX_alltn_e,0.0
flux,G3PD7,0.0
flux,NADH9,0.0
flux,NADH10,0.0
flux,MDH,-13.4857264511327
flux,FUM,0.215525739007489
flux,PYDXNK,0.0
flux,PYAM5PO,0.0
flux,OHPBAT,-9.21799165780612e-05
flux,EX_dgsn_e,0.0
flux,EX_arab__L_e,0.0
flux,EX_fru_e,0.0
flux,EX_gal_e,0.0
flux,EX_xyl__D_e,0.0
flux,EX_duri_e,0.0
flux,EX_for_e,0.0
flux,EX_gly_e,0.0
flux,EX_h2_e,0.0
flux,EX_lys__L_e,0.0
flux,EX_ser__L_e,0.0
flux,EX_thm_e,0.0
flux,EX_trp__L_e,0.0
flux,GLUTRR,0.000737439332910926
flux,GLCS1,0.0
flux,GLCP,0.0
flux,EX_din_e,0.0
flux,EX_fmn_e,-0.0
flux,EX_gthox_e,0.0
flux,HEMEOS,0.0
flux,ADMDC,0.0
flux,AGMT,0.0
flux,ARGDC,0.0
flux,ARGSS,0.0611347127555438
flux,AGPR,-0.0611347127555746
flux,SPMS,0.0
flux,G1SAT,0.000737439332738177
flux,KDOCT2,0.00804238770067394
flux,OAADC,0.0
flux,MNNH,0.0
flux,ALTRH,0.0
flux,GUI1,1.13686837721616e-13
flux,PGAMT,-0.0195289147067115
flux,UAGDP,0.0195289147065501
flux,UAGCVT,0.0057432635029381
flux,GLUR,-0.00574326350283627
flux,UAG2E,-1.13686837721616e-13
flux,EX_acald_e,0.0
flux,EX_melib_e,0.0
flux,MACPD,0.0
flux,DMQMT,0.0
flux,ICHORS_copy1,0.0
flux,EX_sucr_e,0.0
flux,EX_tre_e,0.0
flux,EX_zn2_e,-7.04783668652453e-05
flux,HACD5,0.0735537863619129
flux,DNMPPA,0.000138269874617788
flux,HPPK2,0.000138269874630849
flux,PTPATi,0.000139303285036706
flux,HEX7,0.0
flux,DXPRIi,0.000493761929916479
flux,OPHBDC,4.60899582969338e-05
flux,OHPHM,0.0
flux,GHMT2r,0.219355959205132
flux,DHORD2,0.0683489279787382
flux,ADK4,0.0
flux,INSK,0.0
flux,ABTA,1.10618275243119e-13
flux,SSALx,0.0
flux,ASPT,0.0
flux,SERD_L,0.0
flux,THRD,0.0
flux,HEX4,0.0
flux,KARA1,-0.18071541958227
flux,KARA2,0.060046948403965
flux,ACCOAC,0.01608592964504
flux,NADK,9.23865979300827e-05
flux,ICHORS_copy2,0.0
flux,SUCBZS,0.0
flux,DHBD,0.0
flux,ICHORT,0.0
flux,RBK_L1,1.16917124057862e-13
flux,RBP4E,1.13686837721616e-13
flux,NTD2,0.00540802622790662
flux,NTD4,0.0
flux,NTD5,0.0
flux,NTD6,0.00540802622713883
flux,LGTHL,0.0
flux,PYDXPP,0.0
flux,PDXPP,0.0
flux,HACD6,0.0574690109607445
flux,ECOAH1,0.0735537863619129
flux,ECOAH2,0.073553786362254
flux,ECOAH3,0.0735537863623676
flux,UGLT,-1.13686837721616e-13
flux,DXPS,0.000585941846510347
flux,CDPMEK,0.000493761929916479
flux,MECDPS,0.000493761929916479
flux,DDGLK,0.0
flux,XYLI2,0.0
flux,PMANM,0.0
flux,ICL,0.0
flux,GLYCL,0.0
flux,CMPN,0.0
flux,HCYSMT,0.0
flux,UDPG4E,2.27373675443232e-13
flux,LACZ,0.0
flux,TRE6PH,0.0
flux,XYLI1,-0.0
flux,PPC,0.611823114889657
flux,ALDD4,0.0
flux,G3PT,0.0
flux,CINNDO,0.0
flux,DHPPD,0.0
flux,DHCIND,0.0
flux,CITL,0.0
flux,GOFUCR,0.0
flux,PYDXK,0.0
flux,GTPCII2,9.21799176483792e-05
flux,URIC,0.0
flux,SADT2,0.0511499330039802
flux,LCARS,0.0
flux,ALCD19,0.0
flux,RMPA,-0.0
flux,SBTPD,-0.0
flux,PFK_2,0.0
flux,GLTPD,-0.0
flux,TGBPA,-0.0
flux,MANAO,3.41060513164848e-13
flux,TAGURr,0.0
flux,PGLYCP,0.0
flux,GLXCL,2.55937001352938e-13
flux,TARTD,0.0
flux,GLCRAL,0.0
flux,KAS14,0.0
flux,EDTXS1,0.0
flux,EDTXS2,0.0
flux,EDTXS3,0.0
