Variable,Index,Value,Bounds
flux,PFK,2.19165615018326,"[0.0, 1000.0]"
flux,PFL,0.0,"[0.0, 1000.0]"
flux,PGI,1.49760401655228,"[0, 1000.0]"
flux,PGK,0.0,"[0, 1000.0]"
flux,PGL,1.20798747598805,"[0.0, 1000.0]"
flux,ACALD,0.0,"[0, 1000.0]"
flux,AKGt2r,0.0,"[0, 1000.0]"
flux,PGM,0.0,"[0, 1000.0]"
flux,PIt2r,0.518348024089119,"[0, 1000.0]"
flux,ALCD2x,0.0,"[0, 1000.0]"
flux,ACALDt,0.0,"[0, 1000.0]"
flux,ACKr,0.0,"[0, 1000.0]"
flux,PPC,0.403777991635572,"[0.0, 1000.0]"
flux,ACONTa,0.152022639299141,"[0, 1000.0]"
flux,ACONTb,0.152022639299141,"[0, 1000.0]"
flux,ATPM,8.39,"[8.39, 1000.0]"
flux,PPCK,0.0,"[0.0, 1000.0]"
flux,ACt2r,0.0,"[0, 1000.0]"
flux,PPS,0.0,"[0.0, 1000.0]"
flux,ADK1,0.0,"[0, 1000.0]"
flux,AKGDH,0.0,"[0.0, 1000.0]"
flux,ATPS4r,10.2099621407558,"[0, 1000.0]"
flux,PTAr,2.92474368218895,"[0, 1000.0]"
flux,PYK,1.26953013445857,"[0.0, 1000.0]"
flux,BIOMASS_Ecoli_core_w_GAM,0.140905217628271,"[0.0, 1000.0]"
flux,PYRt2,0.0,"[0, 1000.0]"
flux,CO2t,0.0,"[0, 1000.0]"
flux,RPE,0.704042313560829,"[0, 1000.0]"
flux,CS,0.152022639299141,"[0.0, 1000.0]"
flux,RPI,0.0,"[0, 1000.0]"
flux,SUCCt2_2,0.0,"[0.0, 1000.0]"
flux,CYTBD,8.79636499533378,"[0.0, 1000.0]"
flux,D_LACt2,0.0,"[0, 1000.0]"
flux,ENO,4.48092908671909,"[0, 1000.0]"
flux,SUCCt3,0.0,"[0.0, 1000.0]"
flux,ETOHt2r,0.0,"[0, 1000.0]"
flux,SUCDi,0.0,"[0.0, 1000.0]"
flux,SUCOAS,0.0,"[0, 1000.0]"
flux,TALA,0.377454548562317,"[0, 1000.0]"
flux,THD2,0.0,"[0.0, 1000.0]"
flux,TKT1,0.377454548562317,"[0, 1000.0]"
flux,TKT2,0.326587764998512,"[0, 1000.0]"
flux,TPI,2.19165615018326,"[0, 1000.0]"
flux,EX_ac_e,2.92474368218895,"[0, 1000.0]"
flux,EX_acald_e,0.0,"[0, 1000.0]"
flux,EX_akg_e,0.0,"[0, 1000.0]"
flux,EX_co2_e,4.56108301976693,"[0, 1000.0]"
flux,EX_etoh_e,0.0,"[0, 1000.0]"
flux,EX_for_e,0.0,"[0, 1000.0]"
flux,EX_fru_e,0.0,"[0, 1000.0]"
flux,EX_fum_e,0.0,"[0, 1000.0]"
flux,EX_glc__D_e,0.0,"[0, 1000.0]"
flux,EX_gln__L_e,0.0,"[0, 1000.0]"
flux,EX_glu__L_e,0.0,"[0, 1000.0]"
flux,EX_h_e,5.75130234781205,"[0, 1000.0]"
flux,EX_h2o_e,5.58749298705831,"[0, 1000.0]"
flux,EX_lac__D_e,0.0,"[0, 1000.0]"
