Reactions,Min Solutions,Max Solutions,Solution Biomass
ACALD,0.0,1000.0,0.873921506968418
ACALD_reverse,0.0,1000.0,0.873921506968418
ACALDt,0.0,1000.0,0.873921506968418
ACALDt_reverse,0.0,1000.0,0.873921506968418
ACKr,0.0,1000.0,0.873921506968418
ACKr_reverse,0.0,1000.0,0.873921506968418
ACONTa,0.848586522481363,1000.0,0.873921506968418
ACONTa_reverse,0.0,999.151413477519,0.873921506968418
ACONTb,0.848586522481364,1000.0,0.873921506968418
ACONTb_reverse,0.0,999.151413477519,0.873921506968418
ACt2r,0.0,1000.0,0.873921506968418
ACt2r_reverse,0.0,1000.0,0.873921506968418
ADK1,0.0,188.236336912767,0.873921506968418
ADK1_reverse,0.0,186.968360042793,0.873921506968418
AKGDH,0.0,8.04593357870653,0.873921506968418
AKGt2r,0.0,174.293697398867,0.873921506968418
AKGt2r_reverse,0.0,174.293697398863,0.873921506968418
ALCD2x,0.0,1000.0,0.873921506968418
ALCD2x_reverse,0.0,1000.0,0.873921506968418
ATPM,8.39,25.5510000000041,0.873921506968418
ATPS4r,34.8256178303195,1000.0,0.873921506968418
ATPS4r_reverse,0.0,965.17438216968,0.873921506968418
BIOMASS_Ecoli_core_w_GAM,0.7865293562715762,0.873921506968418,0.873921506968418
CO2t,0.0,984.793474044825,0.873921506968418
CO2t_reverse,15.2065259551753,1000.0,0.873921506968418
CS,0.848586522481363,8.89452010118792,0.873921506968418
CYTBD,35.9848645585744,51.2390867807992,0.873921506968418
D_LACt2,0.0,1000.0,0.873921506968418
D_LACt2_reverse,0.0,1000.0,0.873921506968418
ENO,8.68658751653439,361.019891862522,0.873921506968418
ENO_reverse,0.0,345.916886555796,0.873921506968418
ETOHt2r,0.0,1000.0,0.873921506968418
ETOHt2r_reverse,0.0,1000.0,0.873921506968418
EX_ac_e,0.0,3.81355555555622,0.873921506968418
EX_ac_e_reverse,0.0,0.0,0.873921506968418
EX_acald_e,0.0,2.54237037037089,0.873921506968418
EX_acald_e_reverse,0.0,0.0,0.873921506968418
EX_akg_e,0.0,1.43008333333362,0.873921506968418
EX_akg_e_reverse,0.0,0.0,0.873921506968418
EX_co2_e,15.2065259551748,1000.0,0.873921506968418
EX_co2_e_reverse,0.0,984.793474044825,0.873921506968418
EX_etoh_e,0.0,2.21432258064563,0.873921506968418
EX_etoh_e_reverse,0.0,0.0,0.873921506968418
EX_for_e,0.0,11.3223240240111,0.873921506968418
EX_for_e_reverse,0.0,0.0,0.873921506968418
EX_fru_e,0.0,0.0,0.873921506968418
EX_fru_e_reverse,0.0,0.0,0.873921506968418
EX_fum_e,0.0,0.0,0.873921506968418
EX_fum_e_reverse,0.0,0.0,0.873921506968418
EX_glc__D_e,0.0,0.953388888889089,0.873921506968418
EX_glc__D_e_reverse,9.04661111111096,10.0,0.873921506968418
EX_gln__L_e,0.0,0.0,0.873921506968418
EX_gln__L_e_reverse,0.0,0.0,0.873921506968418
EX_glu__L_e,0.0,1.27118518518545,0.873921506968418
EX_glu__L_e_reverse,0.0,0.0,0.873921506968418
EX_h2o_e,20.9359203979993,1000.0,0.873921506968418
EX_h2o_e_reverse,0.0,979.064079602001,0.873921506968418
EX_h_e,15.7777788868078,1000.0,0.873921506968418
EX_h_e_reverse,0.0,984.222221113193,0.873921506968418
EX_lac__D_e,0.0,2.14512500000045,0.873921506968418
EX_lac__D_e_reverse,0.0,0.0,0.873921506968418
EX_mal__L_e,0.0,0.0,0.873921506968418
EX_mal__L_e_reverse,0.0,0.0,0.873921506968418
EX_nh4_e,0.0,995.711212726122,0.873921506968418
EX_nh4_e_reverse,4.28878727387765,1000.0,0.873921506968418
EX_o2_e,0.0,982.007567720713,0.873921506968418
EX_o2_e_reverse,17.9924322792872,1000.0,0.873921506968418
EX_pi_e,0.0,997.106594457084,0.873921506968418
EX_pi_e_reverse,2.89340554291621,1000.0,0.873921506968418
EX_pyr_e,0.0,2.54237037037089,0.873921506968418
EX_pyr_e_reverse,0.0,0.0,0.873921506968418
EX_succ_e,0.0,1.67424390243934,0.873921506968418
EX_succ_e_reverse,0.0,0.0,0.873921506968418
FBA,1.17170567061004,1000.0,0.873921506968418
FBA_reverse,0.0,998.828294329389,0.873921506968418
FBP,0.0,17.1610000000046,0.873921506968418
FORt,0.0,0.0,0.873921506968418
FORt2,0.0,68.6440000000168,0.873921506968418
FORt_reverse,0.0,68.6440000000165,0.873921506968418
FRD7,0.0,1000.0,0.873921506968418
FRUpts2,0.0,0.0,0.873921506968418
FUM,0.0,1000.0,0.873921506968418
FUM_reverse,0.0,1000.0,0.873921506968418
FUMt2_2,0.0,0.0,0.873921506968418
G6PDH2r,0.0,719.925464007174,0.873921506968418
G6PDH2r_reverse,0.0,715.036916641659,0.873921506968418
GAPD,9.86323543351666,153.667986536317,0.873921506968418
GAPD_reverse,0.0,137.388333312599,0.873921506968418
GLCpts,9.04661111111091,10.0,0.873921506968418
GLNS,0.201115556398642,17.362115556403,0.873921506968418
GLNabc,0.0,0.0,0.873921506968418
GLUDy,0.0,626.438771445504,0.873921506968418
GLUDy_reverse,0.0,630.526443162983,0.873921506968418
GLUN,0.0,17.1610000000044,0.873921506968418
GLUSy,0.0,17.1610000000043,0.873921506968418
GLUt2r,0.0,214.781617910253,0.873921506968418
GLUt2r_reverse,0.0,214.781617910251,0.873921506968418
GND,0.0,24.13780073612,0.873921506968418
H2Ot,0.0,979.064079602001,0.873921506968418
