Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
ATPS4r,b3732,0.024219598297954944,2.9762033425429952,2.543860630001406
ATPS4r_reverse,b3732,0.024219598297954944,3.1250562499640537,2.822196287203458
ATPS4r,b3738,0.015745541206952193,2.290584402983502,1.6868714320261795
ATPS4r_reverse,b3738,0.015745541206952193,2.029528221777809,1.324852098811784
FBA,b2925,0.013837245820924195,0.5160721521981406,0.2492893522282189
FBA_reverse,b2925,0.013837245820924195,0.5074664046562851,0.4069183661679296
ATPS4r,b3734,0.013582830041675839,18.020953816687275,9.027367075323143
ATPS4r_reverse,b3734,0.013582830041675839,16.881919609223186,10.708385686845425
ATPS4r,b3736,0.013155873799639369,2.264355671419961,1.4618489747229946
ATPS4r_reverse,b3736,0.013155873799639369,2.593498130454581,2.0669750864553884
NADH16,b2283,0.011964113718152626,9.991727814856311,5.219952786566853
ATPS4r,b3733,0.011400256276421961,5.829307487239271,2.126469618680865
ATPS4r_reverse,b3733,0.011400256276421961,5.613667818948644,1.1279139840558543
FBA,b2097,0.009773299583742925,0.7112911207771221,0.3506721704824396
FBA_reverse,b2097,0.009773299583742925,0.9541599088101193,0.6846570231343913
PDH,b0114,0.00956052192508409,2.139792950877696,0.930213614674294
NADH16,b2282,0.009404696822363653,3.2454129984862603,2.215413355749014
ATPS4r,b3735,0.007783610709447764,2.481707076721864,1.7895273318292195
ATPS4r_reverse,b3735,0.007783610709447764,2.9076188474700677,2.934612593049996
NADH16,b2286,0.006990258490999117,9.827699394498648,4.617192941659887
NADH16,b2276,0.006471315205052849,7.693572569377318,2.259259134128433
FBA,b1773,0.00619336762896872,0.907446122655234,0.5904952195592077
FBA_reverse,b1773,0.00619336762896872,1.9957766149712304,2.347420264199529
ATPS4r,b3731,0.0056198110245964375,7.887269764353881,10.406382927142207
ATPS4r_reverse,b3731,0.0056198110245964375,8.372118548718095,12.862990496558735
CYTBD,b0979,0.005241326224258476,11.229973802345471,7.457782064713435
PTAr,b2297,0.004883835810658699,3.5204207694951704,1.2592336396758976
PTAr_reverse,b2297,0.004883835810658699,3.719146199797367,1.353882531736525
NADH16,b2277,0.004786212000252883,6.809454046421161,2.620055476897676
PFK,b3916,0.004532835551066194,1.4021446497670245,0.7079459461237333
FRUpts2,b2416,0.003986495527665474,29.59976068373981,11.256700311491226
GLCpts,b2416,0.003986495527665474,13.333233659039456,7.154871487591521
